village_id,ndvi_2019,ndvi_2024,ndvi_delta,ndvi_delta_abs
VIL020070,0.2613,0.2187,-0.0426,0.0426
VIL020071,0.6442,0.7416,0.0975,0.0975
VIL020072,0.5897,0.7314,0.1417,0.1417
VIL020073,0.2421,0.2106,-0.0315,0.0315
VIL020074,0.5222,0.5316,0.0094,0.0094
VIL020075,0.6803,0.7119,0.0316,0.0316
VIL020076,0.6659,0.5741,-0.0919,0.0919
VIL020077,0.2105,0.2402,0.0297,0.0297
VIL020078,0.6886,0.796,0.1074,0.1074
VIL020079,0.3594,0.5244,0.165,0.165
VIL020080,0.6421,0.5479,-0.0942,0.0942
VIL020081,0.4172,0.4204,0.0031,0.0031
VIL020082,0.2525,0.3401,0.0876,0.0876
VIL020083,0.588,0.6515,0.0636,0.0636
VIL020084,0.3077,0.2605,-0.0472,0.0472
VIL020085,0.5075,0.5943,0.0868,0.0868
VIL020086,0.3081,0.3166,0.0085,0.0085
VIL020087,0.7285,0.5888,-0.1397,0.1397
VIL020088,0.7207,0.8297,0.109,0.109
VIL020089,0.2819,0.2903,0.0084,0.0084
VIL020090,0.5178,0.6037,0.0859,0.0859
VIL020091,0.4903,0.5145,0.0242,0.0242
VIL020092,0.7484,0.8458,0.0975,0.0975
VIL020093,0.6837,0.6999,0.0162,0.0162
VIL020094,0.6892,0.6434,-0.0458,0.0458
VIL020095,0.2272,0.209,-0.0182,0.0182
VIL020096,0.2768,0.2934,0.0165,0.0165
VIL020097,0.2556,0.3303,0.0748,0.0748
VIL020098,0.5398,0.5159,-0.0239,0.0239
VIL020099,0.5455,0.6353,0.0898,0.0898
VIL020100,0.2737,0.4495,0.1759,0.1759
VIL020101,0.6593,0.734,0.0747,0.0747
VIL020102,0.2127,0.2264,0.0137,0.0137
VIL020103,0.4066,0.5038,0.0973,0.0973
VIL020104,0.2738,0.3076,0.0338,0.0338
VIL020105,0.6942,0.6646,-0.0296,0.0296
VIL020106,0.4797,0.4753,-0.0044,0.0044
VIL020107,0.5169,0.5303,0.0133,0.0133
VIL020108,0.5922,0.6612,0.069,0.069
VIL020109,0.2482,0.2379,-0.0103,0.0103
VIL020110,0.4553,0.4389,-0.0164,0.0164
VIL020111,0.2984,0.2483,-0.0501,0.0501
VIL020112,0.3365,0.4757,0.1392,0.1392
VIL020113,0.6173,0.7384,0.121,0.121
VIL020114,0.456,0.5488,0.0927,0.0927
VIL020115,0.4156,0.4508,0.0352,0.0352
VIL020116,0.7404,0.8453,0.1049,0.1049
VIL020117,0.4271,0.4124,-0.0147,0.0147
VIL020118,0.7356,0.7405,0.0049,0.0049
VIL020119,0.713,0.7526,0.0395,0.0395
VIL020120,0.2086,0.2626,0.054,0.054
VIL020121,0.2707,0.3404,0.0697,0.0697
VIL020122,0.5797,0.5514,-0.0283,0.0283
VIL020123,0.6363,0.7038,0.0676,0.0676
VIL020124,0.2315,0.2337,0.0022,0.0022
VIL020125,0.2252,0.1919,-0.0333,0.0333
VIL020126,0.682,0.6405,-0.0415,0.0415
VIL020127,0.6361,0.5691,-0.067,0.067
VIL020128,0.5969,0.6615,0.0646,0.0646
VIL020129,0.4285,0.4201,-0.0083,0.0083
VIL020130,0.6601,0.7509,0.0908,0.0908
VIL020131,0.6064,0.6518,0.0453,0.0453
VIL020132,0.3111,0.3703,0.0592,0.0592
VIL020133,0.5377,0.607,0.0693,0.0693
VIL020134,0.3303,0.3945,0.0641,0.0641
VIL020135,0.3676,0.541,0.1734,0.1734
VIL020136,0.7017,0.7503,0.0486,0.0486
VIL020137,0.4221,0.4719,0.0498,0.0498
VIL020138,0.5427,0.5488,0.0061,0.0061
VIL020139,0.4504,0.5417,0.0913,0.0913
VIL020140,0.6933,0.5675,-0.1258,0.1258
VIL020141,0.7119,0.6149,-0.097,0.097
VIL020142,0.5145,0.4308,-0.0837,0.0837
VIL020143,0.2288,0.2118,-0.017,0.017
VIL020144,0.671,0.6771,0.006,0.006
VIL020145,0.6613,0.7601,0.0988,0.0988
VIL020146,0.2867,0.2442,-0.0425,0.0425
VIL020147,0.2027,0.2003,-0.0025,0.0025
VIL020148,0.3578,0.4544,0.0966,0.0966
VIL020149,0.7473,0.8048,0.0575,0.0575
VIL020150,0.4863,0.3953,-0.091,0.091
VIL020151,0.5073,0.5713,0.064,0.064
VIL020152,0.5742,0.6601,0.0858,0.0858
VIL020153,0.5069,0.4403,-0.0666,0.0666
VIL020154,0.2222,0.2494,0.0271,0.0271
VIL020155,0.3942,0.4322,0.038,0.038
VIL020156,0.2041,0.1865,-0.0176,0.0176
VIL020157,0.7132,0.7026,-0.0106,0.0106
VIL020158,0.592,0.6728,0.0808,0.0808
VIL020159,0.2466,0.0739,-0.1728,0.1728
VIL020160,0.5853,0.6077,0.0224,0.0224
VIL020161,0.3155,0.3587,0.0432,0.0432
VIL020162,0.2762,0.3983,0.122,0.122
VIL020163,0.4741,0.6747,0.2006,0.2006
VIL020164,0.5568,0.5012,-0.0556,0.0556
VIL020165,0.3533,0.3774,0.0241,0.0241
VIL020166,0.6907,0.7604,0.0698,0.0698
VIL020167,0.6428,0.7178,0.0751,0.0751
VIL020168,0.6131,0.5606,-0.0524,0.0524
VIL020169,0.2988,0.2899,-0.009,0.009
VIL020170,0.6724,0.545,-0.1273,0.1273
VIL020171,0.3289,0.3632,0.0343,0.0343
VIL020172,0.2856,0.2225,-0.0631,0.0631
VIL020173,0.3302,0.3062,-0.024,0.024
VIL020174,0.2851,0.3709,0.0857,0.0857
VIL020175,0.706,0.7341,0.0282,0.0282
VIL020176,0.2318,0.3677,0.1359,0.1359
VIL020177,0.3844,0.3224,-0.062,0.062
VIL020178,0.5312,0.496,-0.0352,0.0352
VIL020179,0.5775,0.6973,0.1198,0.1198
VIL020180,0.5583,0.666,0.1077,0.1077
VIL020181,0.4752,0.4725,-0.0027,0.0027
VIL020182,0.288,0.3336,0.0456,0.0456
VIL020183,0.2864,0.4213,0.1349,0.1349
VIL020184,0.5804,0.602,0.0215,0.0215
VIL020185,0.3044,0.385,0.0806,0.0806
VIL020186,0.6804,0.6696,-0.0107,0.0107
VIL020187,0.5134,0.6752,0.1619,0.1619
VIL020188,0.229,0.237,0.0079,0.0079
VIL020189,0.6618,0.706,0.0442,0.0442
VIL020190,0.6967,0.622,-0.0746,0.0746
VIL020191,0.5184,0.4707,-0.0477,0.0477
VIL020192,0.6726,0.6083,-0.0643,0.0643
VIL020193,0.4159,0.3239,-0.092,0.092
VIL020194,0.5358,0.5111,-0.0247,0.0247
VIL020195,0.5704,0.5926,0.0222,0.0222
VIL020196,0.5161,0.6114,0.0953,0.0953
VIL020197,0.3198,0.4093,0.0895,0.0895
VIL020198,0.6281,0.5309,-0.0972,0.0972
VIL020199,0.3862,0.3776,-0.0086,0.0086
VIL020200,0.7275,0.8024,0.0749,0.0749
VIL020201,0.719,0.8524,0.1334,0.1334
VIL020202,0.4764,0.4632,-0.0132,0.0132
VIL020203,0.2325,0.3236,0.0911,0.0911
VIL020204,0.7195,0.8294,0.1099,0.1099
VIL020205,0.2818,0.2885,0.0067,0.0067
VIL020206,0.6751,0.4893,-0.1858,0.1858
VIL020207,0.344,0.3576,0.0136,0.0136
VIL020208,0.2757,0.3136,0.0379,0.0379
VIL020209,0.333,0.2479,-0.0851,0.0851
VIL020210,0.7295,0.6926,-0.0369,0.0369
VIL020211,0.4208,0.6043,0.1834,0.1834
VIL020212,0.495,0.3768,-0.1183,0.1183
VIL020213,0.5952,0.666,0.0707,0.0707
VIL020214,0.2974,0.4489,0.1516,0.1516
VIL020215,0.6568,0.6809,0.0241,0.0241
VIL020216,0.231,0.3155,0.0845,0.0845
VIL020217,0.2614,0.2156,-0.0458,0.0458
VIL020218,0.5464,0.5101,-0.0362,0.0362
VIL020219,0.2922,0.2881,-0.004,0.004
VIL020220,0.6671,0.7327,0.0655,0.0655
VIL020221,0.7228,0.6789,-0.0438,0.0438
VIL020222,0.3502,0.2387,-0.1115,0.1115
VIL020223,0.4313,0.4713,0.04,0.04
VIL020224,0.3797,0.4863,0.1066,0.1066
VIL020225,0.5765,0.6705,0.094,0.094
VIL020226,0.6947,0.6715,-0.0232,0.0232
VIL020227,0.2816,0.3679,0.0862,0.0862
VIL020228,0.2045,0.2076,0.0032,0.0032
VIL020229,0.7105,0.6712,-0.0394,0.0394
VIL020230,0.3969,0.4097,0.0128,0.0128
VIL020231,0.3329,0.3855,0.0527,0.0527
VIL020232,0.4017,0.4823,0.0805,0.0805
VIL020233,0.3894,0.4382,0.0488,0.0488
VIL020234,0.3376,0.4412,0.1036,0.1036
VIL020235,0.4041,0.4143,0.0103,0.0103
VIL020236,0.2685,0.2464,-0.0221,0.0221
VIL020237,0.6902,0.7192,0.029,0.029
VIL020238,0.3893,0.4035,0.0142,0.0142
VIL020239,0.3741,0.4881,0.1141,0.1141
VIL020240,0.2024,0.076,-0.1264,0.1264
VIL020241,0.2288,0.3107,0.0819,0.0819
VIL020242,0.2375,0.2409,0.0033,0.0033
VIL020243,0.2032,0.0697,-0.1334,0.1334
VIL020244,0.3993,0.3051,-0.0943,0.0943
VIL020245,0.3681,0.4171,0.049,0.049
VIL020246,0.5107,0.6099,0.0992,0.0992
VIL020247,0.7478,0.8618,0.114,0.114
VIL020248,0.317,0.316,-0.0009,0.0009
VIL020249,0.5371,0.5449,0.0078,0.0078
VIL020250,0.5772,0.6908,0.1136,0.1136
VIL020251,0.4173,0.3735,-0.0439,0.0439
VIL020252,0.6651,0.6778,0.0127,0.0127
VIL020253,0.4684,0.3747,-0.0937,0.0937
VIL020254,0.5142,0.4508,-0.0635,0.0635
VIL020255,0.405,0.3376,-0.0674,0.0674
VIL020256,0.4401,0.476,0.0358,0.0358
VIL020257,0.4177,0.3532,-0.0645,0.0645
VIL020258,0.5248,0.4563,-0.0686,0.0686
VIL020259,0.6433,0.7093,0.066,0.066
VIL020260,0.6527,0.7158,0.0631,0.0631
VIL020261,0.5473,0.534,-0.0133,0.0133
VIL020262,0.2375,0.258,0.0205,0.0205
VIL020263,0.7464,0.8045,0.0581,0.0581
VIL020264,0.4185,0.4578,0.0393,0.0393
VIL020265,0.3362,0.4129,0.0767,0.0767
VIL020266,0.5011,0.7048,0.2037,0.2037
VIL020267,0.449,0.4035,-0.0455,0.0455
VIL020268,0.3647,0.4658,0.1011,0.1011
VIL020269,0.2828,0.4336,0.1508,0.1508
VIL020270,0.5457,0.589,0.0433,0.0433
VIL020271,0.578,0.6767,0.0987,0.0987
VIL020272,0.7214,0.8085,0.0871,0.0871
VIL020273,0.2693,0.2822,0.0129,0.0129
VIL020274,0.6968,0.7882,0.0914,0.0914
VIL020275,0.5351,0.5972,0.0621,0.0621
VIL020276,0.4239,0.5474,0.1234,0.1234
VIL020277,0.3169,0.3513,0.0344,0.0344
VIL020278,0.2043,0.3592,0.1549,0.1549
VIL020279,0.2957,0.2511,-0.0447,0.0447
VIL020280,0.546,0.6432,0.0972,0.0972
VIL020281,0.2314,0.2578,0.0264,0.0264
VIL020282,0.2585,0.4205,0.162,0.162
VIL020283,0.4518,0.4417,-0.0101,0.0101
VIL020284,0.3852,0.4414,0.0562,0.0562
VIL020285,0.5223,0.4336,-0.0887,0.0887
VIL020286,0.2313,0.1754,-0.0559,0.0559
VIL020287,0.4951,0.5286,0.0335,0.0335
VIL020288,0.4619,0.4527,-0.0092,0.0092
VIL020289,0.7215,0.6636,-0.0579,0.0579
VIL020290,0.3415,0.2583,-0.0832,0.0832
VIL020291,0.5923,0.5847,-0.0077,0.0077
VIL020292,0.3873,0.5136,0.1263,0.1263
VIL020293,0.3663,0.4393,0.0729,0.0729
VIL020294,0.5373,0.5255,-0.0117,0.0117
VIL020295,0.3326,0.3051,-0.0275,0.0275
VIL020296,0.3604,0.3278,-0.0326,0.0326
VIL020297,0.7155,0.7076,-0.0079,0.0079
VIL020298,0.2461,0.2729,0.0269,0.0269
VIL020299,0.6678,0.5958,-0.072,0.072
VIL020300,0.4921,0.531,0.039,0.039
VIL020301,0.2156,0.202,-0.0136,0.0136
VIL020302,0.5145,0.6039,0.0894,0.0894
VIL020303,0.698,0.7728,0.0747,0.0747
VIL020304,0.3098,0.4776,0.1679,0.1679
VIL020305,0.5159,0.5062,-0.0098,0.0098
VIL020306,0.6835,0.7455,0.062,0.062
VIL020307,0.4905,0.4315,-0.059,0.059
VIL020308,0.58,0.5899,0.0099,0.0099
VIL020309,0.213,0.2433,0.0303,0.0303
VIL020310,0.6348,0.7744,0.1395,0.1395
VIL020311,0.6513,0.5949,-0.0564,0.0564
VIL020312,0.5498,0.5231,-0.0267,0.0267
VIL020313,0.3168,0.3995,0.0826,0.0826
VIL020314,0.3561,0.347,-0.0091,0.0091
VIL020315,0.3296,0.3652,0.0356,0.0356
VIL020316,0.2851,0.4291,0.144,0.144
VIL020317,0.625,0.6088,-0.0162,0.0162
VIL020318,0.4906,0.5198,0.0291,0.0291
VIL020319,0.2893,0.4566,0.1673,0.1673
VIL020320,0.2902,0.3394,0.0492,0.0492
VIL020321,0.4697,0.5024,0.0327,0.0327
VIL020322,0.3915,0.3328,-0.0587,0.0587
VIL020323,0.5501,0.5581,0.008,0.008
VIL020324,0.6015,0.4411,-0.1604,0.1604
VIL020325,0.3071,0.2583,-0.0488,0.0488
VIL020326,0.6978,0.7688,0.071,0.071
VIL020327,0.6602,0.6668,0.0066,0.0066
VIL020328,0.6197,0.5599,-0.0598,0.0598
VIL020329,0.2325,0.3285,0.096,0.096
VIL020330,0.619,0.5547,-0.0643,0.0643
VIL020331,0.6148,0.6976,0.0828,0.0828
VIL020332,0.6512,0.85,0.1987,0.1987
VIL020333,0.4004,0.2719,-0.1286,0.1286
VIL020334,0.3786,0.3741,-0.0046,0.0046
VIL020335,0.3536,0.2323,-0.1213,0.1213
VIL020336,0.3224,0.3775,0.0551,0.0551
VIL020337,0.3376,0.4823,0.1447,0.1447
VIL020338,0.4331,0.4187,-0.0143,0.0143
VIL020339,0.698,0.7536,0.0557,0.0557
VIL020340,0.5984,0.7245,0.1262,0.1262
VIL020341,0.5797,0.5328,-0.0469,0.0469
VIL020342,0.5573,0.5926,0.0353,0.0353
VIL020343,0.2343,0.3192,0.0848,0.0848
VIL020344,0.3227,0.3017,-0.0209,0.0209
VIL020345,0.4738,0.5017,0.0279,0.0279
VIL020346,0.5954,0.6838,0.0884,0.0884
VIL020347,0.6641,0.713,0.0489,0.0489
VIL020348,0.409,0.4623,0.0533,0.0533
VIL020349,0.2574,0.4203,0.1629,0.1629
VIL020350,0.514,0.423,-0.0911,0.0911
VIL020351,0.352,0.2498,-0.1023,0.1023
VIL020352,0.2716,0.267,-0.0046,0.0046
VIL020353,0.4595,0.5335,0.074,0.074
VIL020354,0.4675,0.5975,0.13,0.13
VIL020355,0.7127,0.7393,0.0266,0.0266
VIL020356,0.2883,0.3869,0.0987,0.0987
VIL020357,0.7165,0.7768,0.0603,0.0603
VIL020358,0.6444,0.6148,-0.0296,0.0296
VIL020359,0.68,0.7185,0.0385,0.0385
VIL020360,0.2202,0.2381,0.0178,0.0178
VIL020361,0.337,0.4146,0.0776,0.0776
VIL020362,0.564,0.5732,0.0091,0.0091
VIL020363,0.7319,0.8555,0.1236,0.1236
VIL020364,0.5826,0.5572,-0.0254,0.0254
VIL020365,0.6484,0.6505,0.002,0.002
VIL020366,0.2633,0.2457,-0.0177,0.0177
VIL020367,0.3239,0.4322,0.1083,0.1083
VIL020368,0.5592,0.5809,0.0217,0.0217
VIL020369,0.5237,0.5581,0.0344,0.0344
VIL020370,0.3126,0.3134,0.0008,0.0008
VIL020371,0.6101,0.6282,0.0181,0.0181
VIL020372,0.4884,0.5287,0.0403,0.0403
VIL020373,0.7258,0.7685,0.0428,0.0428
VIL020374,0.364,0.3904,0.0265,0.0265
VIL020375,0.6652,0.637,-0.0282,0.0282
VIL020376,0.5999,0.7227,0.1228,0.1228
VIL020377,0.6199,0.6106,-0.0092,0.0092
VIL020378,0.7089,0.7429,0.034,0.034
VIL020379,0.5832,0.5754,-0.0078,0.0078
VIL020380,0.6753,0.6855,0.0102,0.0102
VIL020381,0.393,0.3592,-0.0338,0.0338
VIL020382,0.5227,0.4857,-0.037,0.037
VIL020383,0.402,0.3438,-0.0583,0.0583
VIL020384,0.4745,0.4717,-0.0028,0.0028
VIL020385,0.605,0.5031,-0.1019,0.1019
VIL020386,0.3354,0.324,-0.0114,0.0114
VIL020387,0.558,0.5387,-0.0193,0.0193
VIL020388,0.2212,0.3594,0.1381,0.1381
VIL020389,0.3078,0.2335,-0.0743,0.0743
VIL020390,0.3845,0.4788,0.0943,0.0943
VIL020391,0.4904,0.5205,0.0301,0.0301
VIL020392,0.2342,0.4747,0.2405,0.2405
VIL020393,0.651,0.7304,0.0795,0.0795
VIL020394,0.4658,0.436,-0.0298,0.0298
VIL020395,0.5656,0.4246,-0.141,0.141
VIL020396,0.3436,0.3879,0.0443,0.0443
VIL020397,0.5433,0.5246,-0.0187,0.0187
VIL020398,0.6654,0.6684,0.0031,0.0031
VIL020399,0.2407,0.3953,0.1546,0.1546
VIL020400,0.4881,0.5364,0.0483,0.0483
VIL020401,0.2471,0.3533,0.1062,0.1062
VIL020402,0.7342,0.7914,0.0572,0.0572
VIL020403,0.7307,0.7359,0.0052,0.0052
VIL020404,0.6836,0.5573,-0.1264,0.1264
VIL020405,0.2676,0.297,0.0293,0.0293
VIL020406,0.4876,0.5858,0.0983,0.0983
VIL020407,0.3555,0.4176,0.0622,0.0622
VIL020408,0.5651,0.4948,-0.0703,0.0703
VIL020409,0.5396,0.7026,0.163,0.163
VIL020410,0.4105,0.5465,0.1359,0.1359
VIL020411,0.6346,0.7231,0.0885,0.0885
VIL020412,0.3012,0.4255,0.1243,0.1243
VIL020413,0.6785,0.8562,0.1777,0.1777
VIL020414,0.4475,0.4846,0.0371,0.0371
VIL020415,0.6126,0.7126,0.1,0.1
VIL020416,0.3686,0.432,0.0633,0.0633
VIL020417,0.2039,0.1762,-0.0276,0.0276
VIL020418,0.7155,0.7359,0.0204,0.0204
VIL020419,0.4493,0.5373,0.088,0.088
VIL020420,0.5273,0.6037,0.0765,0.0765
VIL020421,0.3863,0.3252,-0.0611,0.0611
VIL020422,0.6638,0.7195,0.0557,0.0557
VIL020423,0.2257,0.4204,0.1947,0.1947
VIL020424,0.7392,0.8507,0.1116,0.1116
VIL020425,0.2203,0.4016,0.1813,0.1813
VIL020426,0.5598,0.6012,0.0414,0.0414
VIL020427,0.453,0.4253,-0.0277,0.0277
VIL020428,0.6191,0.5807,-0.0384,0.0384
VIL020429,0.3208,0.2973,-0.0236,0.0236
VIL020430,0.482,0.5421,0.06,0.06
VIL020431,0.2686,0.2808,0.0122,0.0122
VIL020432,0.241,0.3263,0.0854,0.0854
VIL020433,0.5845,0.5989,0.0144,0.0144
VIL020434,0.706,0.6949,-0.0111,0.0111
VIL020435,0.6136,0.5938,-0.0198,0.0198
VIL020436,0.574,0.4585,-0.1155,0.1155
VIL020437,0.719,0.8008,0.0818,0.0818
VIL020438,0.7033,0.702,-0.0013,0.0013
VIL020439,0.3287,0.5446,0.2159,0.2159
VIL020440,0.3489,0.3434,-0.0055,0.0055
VIL020441,0.643,0.7053,0.0623,0.0623
VIL020442,0.327,0.4002,0.0732,0.0732
VIL020443,0.6081,0.7558,0.1477,0.1477
VIL020444,0.5131,0.5406,0.0276,0.0276
VIL020445,0.5632,0.6295,0.0664,0.0664
VIL020446,0.705,0.6399,-0.0651,0.0651
VIL020447,0.7464,0.7831,0.0367,0.0367
VIL020448,0.6286,0.7451,0.1165,0.1165
VIL020449,0.255,0.2922,0.0372,0.0372
VIL020450,0.5866,0.6538,0.0671,0.0671
VIL020451,0.7176,0.8261,0.1085,0.1085
VIL020452,0.2839,0.2597,-0.0242,0.0242
VIL020453,0.7101,0.6064,-0.1037,0.1037
VIL020454,0.2993,0.3795,0.0802,0.0802
VIL020455,0.674,0.7042,0.0302,0.0302
VIL020456,0.6395,0.7191,0.0796,0.0796
VIL020457,0.3648,0.3527,-0.012,0.012
VIL020458,0.4637,0.3923,-0.0714,0.0714
VIL020459,0.2946,0.3401,0.0456,0.0456
VIL020460,0.3748,0.4003,0.0254,0.0254
VIL020461,0.2425,0.1639,-0.0787,0.0787
VIL020462,0.3508,0.2766,-0.0742,0.0742
VIL020463,0.5922,0.6139,0.0217,0.0217
VIL020464,0.7299,0.8099,0.08,0.08
VIL020465,0.2714,0.2598,-0.0116,0.0116
VIL020466,0.2532,0.2445,-0.0087,0.0087
VIL020467,0.3693,0.3711,0.0017,0.0017
VIL020468,0.4244,0.4767,0.0523,0.0523
VIL020469,0.6407,0.4907,-0.15,0.15
VIL020470,0.4865,0.4562,-0.0303,0.0303
VIL020471,0.3787,0.4062,0.0275,0.0275
VIL020472,0.3735,0.4772,0.1037,0.1037
VIL020473,0.5308,0.5126,-0.0182,0.0182
VIL020474,0.4135,0.481,0.0674,0.0674
VIL020475,0.6883,0.7502,0.0618,0.0618
VIL020476,0.7074,0.8939,0.1865,0.1865
VIL020477,0.653,0.79,0.137,0.137
VIL020478,0.6095,0.6321,0.0225,0.0225
VIL020479,0.44,0.5888,0.1487,0.1487
VIL020480,0.2489,0.3715,0.1227,0.1227
VIL020481,0.2995,0.4073,0.1078,0.1078
VIL020482,0.2062,0.0656,-0.1406,0.1406
VIL020483,0.6464,0.5812,-0.0652,0.0652
VIL020484,0.6308,0.6118,-0.0191,0.0191
VIL020485,0.5805,0.5637,-0.0168,0.0168
VIL020486,0.2737,0.3646,0.091,0.091
VIL020487,0.2261,0.194,-0.032,0.032
VIL020488,0.267,0.1005,-0.1665,0.1665
VIL020489,0.3403,0.3753,0.035,0.035
VIL020490,0.51,0.648,0.138,0.138
VIL020491,0.5798,0.4628,-0.117,0.117
VIL020492,0.5021,0.4868,-0.0153,0.0153
VIL020493,0.2287,0.2933,0.0646,0.0646
VIL020494,0.2224,0.33,0.1076,0.1076
VIL020495,0.2982,0.4303,0.1321,0.1321
VIL020496,0.3559,0.2411,-0.1148,0.1148
VIL020497,0.5254,0.5268,0.0014,0.0014
VIL020498,0.522,0.5264,0.0044,0.0044
VIL020499,0.2838,0.4385,0.1546,0.1546
VIL020500,0.2244,0.104,-0.1204,0.1204
VIL020501,0.6399,0.7263,0.0863,0.0863
VIL020502,0.2931,0.3457,0.0526,0.0526
VIL020503,0.351,0.3828,0.0318,0.0318
VIL020504,0.3909,0.422,0.0311,0.0311
VIL020505,0.5745,0.5384,-0.0361,0.0361
VIL020506,0.3381,0.3424,0.0043,0.0043
VIL020507,0.4139,0.4315,0.0176,0.0176
VIL020508,0.6013,0.5261,-0.0752,0.0752
VIL020509,0.2598,0.2609,0.0011,0.0011
VIL020510,0.5431,0.5482,0.0051,0.0051
VIL020511,0.4159,0.4851,0.0692,0.0692
VIL020512,0.5911,0.4568,-0.1342,0.1342
VIL020513,0.5897,0.5838,-0.0058,0.0058
VIL020514,0.2688,0.1929,-0.0759,0.0759
VIL020515,0.5524,0.618,0.0656,0.0656
VIL020516,0.2844,0.4047,0.1203,0.1203
VIL020517,0.7289,0.7891,0.0602,0.0602
VIL020518,0.2104,0.1649,-0.0454,0.0454
VIL020519,0.3869,0.387,0.0001,0.0001
VIL020520,0.3065,0.2599,-0.0466,0.0466
VIL020521,0.3445,0.4277,0.0832,0.0832
VIL020522,0.2682,0.2608,-0.0074,0.0074
VIL020523,0.628,0.8246,0.1966,0.1966
VIL020524,0.2992,0.3044,0.0052,0.0052
VIL020525,0.203,0.2641,0.0611,0.0611
VIL020526,0.6897,0.7189,0.0292,0.0292
VIL020527,0.5115,0.5565,0.045,0.045
VIL020528,0.2193,0.2752,0.0559,0.0559
VIL020529,0.6024,0.5774,-0.0249,0.0249
VIL020530,0.3391,0.3177,-0.0214,0.0214
VIL020531,0.4679,0.5556,0.0877,0.0877
VIL020532,0.3809,0.3142,-0.0668,0.0668
VIL020533,0.2766,0.2945,0.0179,0.0179
VIL020534,0.2473,0.1647,-0.0826,0.0826
VIL020535,0.5335,0.4236,-0.1099,0.1099
VIL020536,0.2183,0.2549,0.0366,0.0366
VIL020537,0.6009,0.5662,-0.0347,0.0347
VIL020538,0.6983,0.772,0.0738,0.0738
VIL020539,0.6196,0.6487,0.0291,0.0291
VIL020540,0.2117,0.1909,-0.0208,0.0208
VIL020541,0.4392,0.4093,-0.0299,0.0299
VIL020542,0.3584,0.2921,-0.0663,0.0663
VIL020543,0.5513,0.5467,-0.0046,0.0046
VIL020544,0.5926,0.714,0.1214,0.1214
VIL020545,0.4097,0.3997,-0.01,0.01
VIL020546,0.542,0.5842,0.0422,0.0422
VIL020547,0.2379,0.1515,-0.0863,0.0863
VIL020548,0.5297,0.5101,-0.0196,0.0196
VIL020549,0.4797,0.6773,0.1975,0.1975
VIL020550,0.2285,0.2504,0.0219,0.0219
VIL020551,0.212,0.2031,-0.0088,0.0088
VIL020552,0.4062,0.5056,0.0994,0.0994
VIL020553,0.5031,0.4768,-0.0262,0.0262
VIL020554,0.4087,0.4698,0.0611,0.0611
VIL020555,0.3576,0.3743,0.0168,0.0168
VIL020556,0.3793,0.4291,0.0497,0.0497
VIL020557,0.4879,0.4641,-0.0238,0.0238
VIL020558,0.6017,0.765,0.1633,0.1633
VIL020559,0.6749,0.7667,0.0918,0.0918
VIL020560,0.7272,0.7311,0.0039,0.0039
VIL020561,0.5706,0.6137,0.0431,0.0431
VIL020562,0.3249,0.3563,0.0313,0.0313
VIL020563,0.4771,0.5091,0.032,0.032
VIL020564,0.7228,0.6332,-0.0896,0.0896
VIL020565,0.6476,0.6749,0.0273,0.0273
VIL020566,0.5208,0.5874,0.0666,0.0666
VIL020567,0.662,0.6199,-0.0421,0.0421
VIL020568,0.2762,0.2874,0.0112,0.0112
VIL020569,0.466,0.2585,-0.2075,0.2075
VIL020570,0.4693,0.5389,0.0696,0.0696
VIL020571,0.5876,0.6254,0.0378,0.0378
VIL020572,0.3085,0.3453,0.0368,0.0368
VIL020573,0.6181,0.4469,-0.1712,0.1712
VIL020574,0.4763,0.5154,0.0391,0.0391
VIL020575,0.7151,0.705,-0.0101,0.0101
VIL020576,0.4155,0.4289,0.0134,0.0134
VIL020577,0.201,0.2549,0.0539,0.0539
VIL020578,0.4486,0.5204,0.0719,0.0719
VIL020579,0.3817,0.3868,0.0051,0.0051
VIL020580,0.5916,0.6669,0.0753,0.0753
VIL020581,0.6633,0.5163,-0.147,0.147
VIL020582,0.641,0.6167,-0.0243,0.0243
VIL020583,0.4148,0.4847,0.0699,0.0699
VIL020584,0.5524,0.5312,-0.0213,0.0213
VIL020585,0.4567,0.42,-0.0367,0.0367
VIL020586,0.4854,0.5137,0.0284,0.0284
VIL020587,0.3868,0.613,0.2262,0.2262
VIL020588,0.4535,0.3952,-0.0582,0.0582
VIL020589,0.3835,0.3843,0.0007,0.0007
VIL020590,0.7427,0.7851,0.0423,0.0423
VIL020591,0.6892,0.6272,-0.0621,0.0621
VIL020592,0.5948,0.4678,-0.1271,0.1271
VIL020593,0.4536,0.4306,-0.023,0.023
VIL020594,0.6025,0.6873,0.0849,0.0849
VIL020595,0.4337,0.3903,-0.0434,0.0434
VIL020596,0.5829,0.7462,0.1634,0.1634
VIL020597,0.4784,0.5926,0.1142,0.1142
VIL020598,0.4045,0.3325,-0.072,0.072
VIL020599,0.5789,0.718,0.1391,0.1391
VIL020600,0.4511,0.3954,-0.0557,0.0557
VIL020601,0.3734,0.4166,0.0432,0.0432
VIL020602,0.5136,0.5578,0.0443,0.0443
VIL020603,0.6482,0.6398,-0.0084,0.0084
VIL020604,0.7336,0.6659,-0.0678,0.0678
VIL020605,0.6974,0.7949,0.0975,0.0975
VIL020606,0.6803,0.616,-0.0643,0.0643
VIL020607,0.5803,0.7215,0.1412,0.1412
